Stock,Name,Sector,Cap,Pattern,TF,Date,Status,Breakout_Zone,CMP,Upside_%,Quality,Vol_Surge,CANSLIM,Reco,Window
ESCORTS,Escorts Kubota Limited,,Large,FlatBase,Weekly,2026-04-23,Pattern Formed,2717.9,2679.8,1.42,-0.067,1.39,4,WATCH — mixed,40
GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical,Small,FlatBase,Weekly,2026-04-20,Pattern Formed,108.35,96.78,11.95,-0.067,0.66,4,WATCH — mixed,40
GOCLCORP,GOCL Corporation Limited,Basic Materials,Small,FlatBase,Daily,2026-04-20,Pattern Formed,108.35,96.78,11.95,-0.067,0.66,4,WATCH — mixed,40
MALUPAPER,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,664.6,657.2,1.13,-0.068,1.29,4,WATCH — mixed,60
MAHSEAMLES,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,664.6,657.2,1.13,-0.068,1.29,4,WATCH — mixed,60
ZENTEC,Zen Technologies Limited,Industrials,Mid,InverseHS,Weekly,2026-04-23,Pattern Formed,216.17,221.0,-2.19,-0.069,1.12,4,WATCH — mixed,60
ZENSARTECH,Zensar Technologies Limited,Technology,Mid,InverseHS,Weekly,2026-04-23,Pattern Formed,216.17,221.0,-2.19,-0.069,1.12,4,WATCH — mixed,60
ADOR,Ador Welding Limited,Industrials,Small,InverseHS,Daily,2026-04-23,Pattern Formed,1112.33,1037.1,7.25,-0.07,0.26,4,WATCH — mixed,180
ECLERX,eClerx Services Limited,Technology,Mid,InverseHS,Daily,2026-04-23,Pattern Formed,162.77,211.0,-22.86,-0.07,0.14,4,WATCH — mixed,60
TIMEX,Timex Group India Limited,Consumer Cyclical,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,395.6,395.15,0.11,-0.07,0.4,4,WATCH — mixed,15
QUINT,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,327.1,319.0,2.54,-0.077,0.36,4,WATCH — mixed,40
RADIANTCMS,Radiant Cash Management Services Limited,,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,327.1,319.0,2.54,-0.077,0.36,4,WATCH — mixed,40
RADHIKAJWE,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,327.1,319.0,2.54,-0.077,0.36,4,WATCH — mixed,40
POLICYBZR,PB Fintech Limited,Financial Services,Large,BullFlag,Daily,2026-04-23,Pattern Formed,933.65,914.05,2.14,-0.079,0.17,4,WATCH — mixed,20
SONAMLTD,Sonam Limited,Consumer Cyclical,Micro,InverseHS,Weekly,2026-04-23,Pattern Formed,207.33,238.63,-13.12,-0.079,0.34,4,WATCH — mixed,60
SOMATEX,Soma Textiles & Industries Limited,,Micro,InverseHS,Weekly,2026-04-23,Pattern Formed,207.33,238.63,-13.12,-0.079,0.34,4,WATCH — mixed,60
BSHSL,Bombay Super Hybrid Seeds Limited,,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,1192.2,1161.65,2.63,-0.082,0.45,4,WATCH — mixed,40
